"position","workId","canonicalTitle","blockerCode","blockerDetails","evidenceName","evidenceUrl","evidencePublishedAt","retrievedAt","recheckPath","koreanQueries","japaneseEvidenceUrls"
"31","work-9791d80d12670e9b87c5","ディメンションW","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/11604248/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","디멘션 W|디멘션W","https://tokitamaroku.blog.fc2.com/blog-entry-108.html"
"32","work-98496629236d52367540","どぶがわ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12504127/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","도부가와|도부 가와","https://booklive.jp/review/list/title_id/271860/vol_no/001"
"33","work-98626de1d3e25186d1bb","古見さんは、コミュ症です。","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2017/comics","2017","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/14355404/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","고미 양은 커뮤증입니다|코미 양은 커뮤증입니다","https://rb-m-gl.com/komi1/"
"34","work-986fd04811a0b3d816f1","月光条例","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2009.html","2009","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/5717249/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","월광조례|월광 조례","https://booklive.jp/review/list/title_id/183801/vol_no/001"
"35","work-9894bab2657809d62a14","くまみこ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2015/comics","2015","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12742549/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","쿠마미코|쿠마 미코","https://bookmeter.com/books/7506190"
"36","work-989ea31af1af92fb78b4","片恋の日記少女","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/5296160/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","짝사랑 일기 소녀|편연 일기 소녀","https://bookmeter.com/books/577542"
"37","work-9919ce0368e7e46897b5","マイガール","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2009.html","2009","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/4349782/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","마이 걸|마이걸","https://gamemachine-alternativeshinku.hatenadiary.jp/entry/2020/02/19/153209"
"38","work-9a1d727d87f46ac407d1","Real Clothes","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/4375194/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","리얼 클로즈|리얼클로즈","https://bookmeter.com/books/571842"
"39","work-9c412903936a15ec703f","描くなるうえは","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2024/comics","2024","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/17554560/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","카쿠나루 우에와|그리는 것부터","https://booklive.jp/review/list/title_id/20063305/vol_no/001"
"40","work-9ce9f67dfe1aef833c70","映像研には手を出すな！","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2017/comics","2017","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/14576390/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","영상연에는 손대지 마!|영상연에는 손대지마","https://mediag.bunka.go.jp/article/eken-5416/"
"41","work-9f01ddaef8d3525c771f","ふたりエスケープ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2021/comics","2021","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/16461133/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","두 사람 이스케이프|두사람 이스케이프","https://anime-comic.marble-blog.com/comic/hutari-escape-01/"
"42","work-a2dbffa203dc2a27aa25","レイチェル・ ダイアル","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12166207/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","레이첼 다이얼|레일첼 다이얼","https://books.rakuten.co.jp/rb/12166207/"
"43","work-a33cda6fe7a6aedc1ef2","パラショッパーズ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2025/comics","2025","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/18189983/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","파라쇼퍼즈|파라 쇼퍼즈","https://www.cmoa.jp/title/322103/"
"44","work-a35a61b852c16a061059","放課後帰宅びより","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2025/comics","2025","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/17684936/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","방과후 귀가 비요리|방과 후 귀가 비요리","https://reblog.hateblo.jp/entry/20260629/1782694800"
"45","work-a47ba80532ff25bd84c0","コウノドリ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12326433/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","코우노도리|코우노 도리","https://let-bygones-be-bygones.com/2020/04/25/manga-kounodori-volume-1/"
"46","work-a5ea58e7f117809f190c","ケンガイ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12086092/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","켄가이|권외","https://trashbag.tistory.com/402"
"47","work-a62a4e661d1b32d913de","34歳無職さん","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12664096/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","34세 무직씨|34세 무직 씨","https://buzz-manga.blog.jp/34yo-Musyokusan-vol1.html"
"48","work-a68955f5898263495c4d","魔法少女ダンデライオン","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2025/comics","2025","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/18148665/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","마법소녀 댄델리온|마법소녀 단델리온","https://pmp68096801.hatenablog.com/entry/2026/06/12/195711"
"49","work-a8a810cf55a64514d666","14歳の恋","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/11194618/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","14세의 사랑|14 세의 사랑","https://booklive.jp/review/list/title_id/249326/vol_no/001"
"50","work-a8aaeb4f15aad02d9e79","LIAR GAME","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/3617322/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","라이어 게임|라이어게임","https://www.kurobook.net/entry/LIAR_GAME_1"
